Trade number,Type,Date and time,Signal,Price USD,Size (qty),Size (value),Net PnL USD,Return %,Commission USD,Favorable excursion USD,Favorable excursion %,Adverse excursion USD,Adverse excursion %,Cumulative PnL USD,Cumulative PnL %,Duration (bars)
59,Entry long,2025-10-23 09:45,ORB long,25137.25,10,5027450,-3862.4,-0.08,12.4,8493.8,0.17,-3856.2,-0.08,28468.4,56.94,5
60,Exit long,2025-10-24 10:30,Exit,25492.5,10,5106500,-8012.4,-0.16,12.4,1793.8,0.04,-8006.2,-0.16,20456,40.91,5
60,Entry long,2025-10-24 10:05,ORB long,25532.5,10,5106500,-8012.4,-0.16,12.4,1793.8,0.04,-8006.2,-0.16,20456,40.91,5
61,Exit long,2025-10-27 10:50,Exit,25859.75,10,5173300,-1362.4,-0.03,12.4,5093.8,0.10,-8706.2,-0.17,19093.6,38.19,10
61,Entry long,2025-10-27 10:00,ORB long,25866.5,10,5173300,-1362.4,-0.03,12.4,5093.8,0.10,-8706.2,-0.17,19093.6,38.19,10
62,Exit short,2025-10-28 09:55,Exit,26081.75,10,5211850,-4512.4,-0.09,12.4,5943.8,0.11,-4506.2,-0.09,14581.2,29.16,2
62,Entry short,2025-10-28 09:45,ORB short,26059.25,10,5211850,-4512.4,-0.09,12.4,5943.8,0.11,-4506.2,-0.09,14581.2,29.16,2
63,Exit long,2025-10-29 10:00,Exit,26296,10,5258250,937.6,0.02,12.4,7043.8,0.13,-456.2,-0.01,15518.8,31.04,2
63,Entry long,2025-10-29 09:50,ORB long,26291.25,10,5258250,937.6,0.02,12.4,7043.8,0.13,-456.2,-0.01,15518.8,31.04,2
64,Exit short,2025-10-31 10:05,Exit,26096.25,10,5221850,2587.6,0.05,12.4,9343.8,0.18,-3956.2,-0.08,18106.4,36.21,4
64,Entry short,2025-10-31 09:45,ORB short,26109.25,10,5221850,2587.6,0.05,12.4,9343.8,0.18,-3956.2,-0.08,18106.4,36.21,4
65,Exit short,2025-11-03 10:10,Exit,26154.5,10,5230900,-12.4,0.00,12.4,13243.8,0.25,-806.2,-0.02,18094,36.19,5
65,Entry short,2025-11-03 09:45,ORB short,26154.5,10,5230900,-12.4,0.00,12.4,13243.8,0.25,-806.2,-0.02,18094,36.19,5
66,Exit long,2025-11-04 10:25,Exit,25887.5,10,5170450,7037.6,0.14,12.4,7043.8,0.14,-4956.2,-0.10,25131.6,50.26,7
66,Entry long,2025-11-04 09:50,ORB long,25852.25,10,5170450,7037.6,0.14,12.4,7043.8,0.14,-4956.2,-0.10,25131.6,50.26,7
67,Exit long,2025-11-05 11:45,Exit,25783.75,10,5121700,35037.6,0.68,12.4,35043.8,0.68,-1606.2,-0.03,60169.2,120.34,24
67,Entry long,2025-11-05 09:45,ORB long,25608.5,10,5121700,35037.6,0.68,12.4,35043.8,0.68,-1606.2,-0.03,60169.2,120.34,24
68,Exit short,2025-11-06 10:35,Exit,25374.5,10,5110900,35987.6,0.70,12.4,35993.8,0.70,-2306.2,-0.05,96156.8,192.31,9
68,Entry short,2025-11-06 09:50,ORB short,25554.5,10,5110900,35987.6,0.70,12.4,35993.8,0.70,-2306.2,-0.05,96156.8,192.31,9
69,Exit long,2025-11-10 09:50,Exit,25610,10,5123250,-1262.4,-0.02,12.4,543.8,0.01,-1256.2,-0.02,94894.4,189.79,1
69,Entry long,2025-11-10 09:45,ORB long,25616.25,10,5123250,-1262.4,-0.02,12.4,543.8,0.01,-1256.2,-0.02,94894.4,189.79,1
70,Exit short,2025-11-11 09:55,Exit,25583,10,5116600,-12.4,0.00,12.4,4543.8,0.09,-856.2,-0.02,94882,189.76,2
70,Entry short,2025-11-11 09:45,ORB short,25583,10,5116600,-12.4,0.00,12.4,4543.8,0.09,-856.2,-0.02,94882,189.76,2
71,Exit short,2025-11-12 10:40,Exit,25595.75,10,5115450,-3712.4,-0.07,12.4,9743.8,0.19,-16556.2,-0.32,91169.6,182.34,11
71,Entry short,2025-11-12 09:45,ORB short,25577.25,10,5115450,-3712.4,-0.07,12.4,9743.8,0.19,-16556.2,-0.32,91169.6,182.34,11
72,Exit long,2025-11-14 10:05,Exit,24980.25,10,4979000,17037.6,0.34,12.4,17043.8,0.34,-7256.2,-0.15,108207.2,216.41,4
72,Entry long,2025-11-14 09:45,ORB long,24895,10,4979000,17037.6,0.34,12.4,17043.8,0.34,-7256.2,-0.15,108207.2,216.41,4
73,Exit long,2025-11-17 09:55,Exit,25200.25,10,5043700,-3662.4,-0.07,12.4,7093.8,0.14,-3656.2,-0.07,104544.8,209.09,2
73,Entry long,2025-11-17 09:45,ORB long,25218.5,10,5043700,-3662.4,-0.07,12.4,7093.8,0.14,-3656.2,-0.07,104544.8,209.09,2
74,Exit long,2025-11-26 09:55,Exit,25193.75,10,5046250,-7512.4,-0.15,12.4,193.8,0.00,-7506.2,-0.15,97032.4,194.06,1
74,Entry long,2025-11-26 09:50,ORB long,25231.25,10,5046250,-7512.4,-0.15,12.4,193.8,0.00,-7506.2,-0.15,97032.4,194.06,1
