Trade number,Type,Date and time,Signal,Price USD,Size (qty),Size (value),Net PnL USD,Return %,Favorable excursion USD,Favorable excursion %,Adverse excursion USD,Adverse excursion %,Cumulative PnL USD,Cumulative PnL %,Duration (bars)
1,Exit short,2026-05-21 11:30,S-X,29192.5,16,936104,1924.16,0.21,1934.08,0.21,-97.92,-0.01,1924.16,3.85,1
1,Entry short,2026-05-21 11:25,Short,29253.25,16,936104,1924.16,0.21,1934.08,0.21,-97.92,-0.01,1924.16,3.85,1
2,Exit long,2026-05-22 13:25,L-X,29708.25,15,889260,1968.9,0.22,1978.2,0.22,-241.8,-0.03,3893.06,7.79,9
2,Entry long,2026-05-22 12:40,Long,29642,15,889260,1968.9,0.22,1978.2,0.22,-241.8,-0.03,3893.06,7.79,9
3,Exit short,2026-05-26 10:10,S-X,30006.25,12,720144,-20.88,0.00,472.56,0.07,-115.44,-0.02,3872.18,7.74,1
3,Entry short,2026-05-26 10:05,Short,30006,12,720144,-20.88,0.00,472.56,0.07,-115.44,-0.02,3872.18,7.74,1
4,Exit short,2026-05-29 10:15,S-X,30420.75,10,610365,1937.6,0.32,1943.8,0.32,-46.2,-0.01,5809.78,11.62,2
4,Entry short,2026-05-29 10:05,Short,30518.25,10,610365,1937.6,0.32,1943.8,0.32,-46.2,-0.01,5809.78,11.62,2
5,Exit long,2026-06-05 10:10,L-X,29862.5,11,655022.5,1938.86,0.30,1945.68,0.30,-265.32,-0.04,7748.64,15.50,1
5,Entry long,2026-06-05 10:05,Long,29773.75,11,655022.5,1938.86,0.30,1945.68,0.30,-265.32,-0.04,7748.64,15.50,1
6,Exit short,2026-06-10 10:20,S-X,29169.25,11,641333,-404.14,-0.06,0,0.00,-397.32,-0.06,7344.5,14.69,0
6,Entry short,2026-06-10 10:20,Short,29151.5,11,641333,-404.14,-0.06,0,0.00,-397.32,-0.06,7344.5,14.69,0
7,Exit long,2026-06-17 10:45,L-X,30317.5,12,728010,-404.88,-0.06,0,0.00,-397.44,-0.05,6939.62,13.88,0
7,Entry long,2026-06-17 10:45,Long,30333.75,12,728010,-404.88,-0.06,0,0.00,-397.44,-0.05,6939.62,13.88,0
8,Exit short,2026-06-24 10:40,S-X,29793.5,12,714648,-410.88,-0.06,0,0.00,-403.44,-0.06,6528.74,13.06,0
8,Entry short,2026-06-24 10:40,Short,29777,12,714648,-410.88,-0.06,0,0.00,-403.44,-0.06,6528.74,13.06,0
9,Exit long,2026-07-01 12:50,L-X,30209.5,16,966712,-27.84,0.00,630.08,0.07,-217.92,-0.02,6500.9,13.00,1
9,Entry long,2026-07-01 12:45,Long,30209.75,16,966712,-27.84,0.00,630.08,0.07,-217.92,-0.02,6500.9,13.00,1
