Trade number,Type,Date and time,Signal,Price USD,Size (qty),Size (value),Net PnL USD,Return %,Favorable excursion USD,Favorable excursion %,Adverse excursion USD,Adverse excursion %,Cumulative PnL USD,Cumulative PnL %,Duration (bars)
1,Exit long,2026-04-10 11:50,L-X,25278.5,17,859452,-4.08,0.00,14.96,0.00,-78.54,-0.01,-4.08,-0.01,0
1,Entry long,2026-04-10 11:50,Long,25278,17,859452,-4.08,0.00,14.96,0.00,-78.54,-0.01,-4.08,-0.01,0
2,Exit short,2026-04-16 11:35,S-X,26506.75,11,582769,-393.14,-0.07,0,0.00,-386.32,-0.07,-397.22,-0.79,0
2,Entry short,2026-04-16 11:35,Short,26489.5,11,582769,-393.14,-0.07,0,0.00,-386.32,-0.07,-397.22,-0.79,0
3,Exit short,2026-04-21 10:05,S-X,26856,11,590447,-398.64,-0.07,0,0.00,-391.82,-0.07,-795.86,-1.59,0
3,Entry short,2026-04-21 10:05,Short,26838.5,11,590447,-398.64,-0.07,0,0.00,-391.82,-0.07,-795.86,-1.59,0
4,Exit long,2026-04-28 11:30,L-X,27022.75,10,540560,-117.4,-0.02,0,0.00,-286.2,-0.05,-913.26,-1.83,0
4,Entry long,2026-04-28 11:30,Long,27028,10,540560,-117.4,-0.02,0,0.00,-286.2,-0.05,-913.26,-1.83,0
5,Exit short,2026-04-30 11:20,S-X,27398.25,15,822120,153.9,0.02,815.7,0.10,-189.3,-0.02,-759.36,-1.52,1
5,Entry short,2026-04-30 11:15,Short,27404,15,822120,153.9,0.02,815.7,0.10,-189.3,-0.02,-759.36,-1.52,1
6,Exit short,2026-05-21 11:30,S-X,29192.5,16,936104,1924.16,0.21,1934.08,0.21,-97.92,-0.01,1164.8,2.33,1
6,Entry short,2026-05-21 11:25,Short,29253.25,16,936104,1924.16,0.21,1934.08,0.21,-97.92,-0.01,1164.8,2.33,1
7,Exit long,2026-05-22 13:15,L-X,29685.75,15,889260,1293.9,0.15,1910.7,0.21,-241.8,-0.03,2458.7,4.92,7
7,Entry long,2026-05-22 12:40,Long,29642,15,889260,1293.9,0.15,1910.7,0.21,-241.8,-0.03,2458.7,4.92,7
8,Exit short,2026-05-26 10:10,S-X,30006.25,12,720144,-20.88,0.00,472.56,0.07,-115.44,-0.02,2437.82,4.88,1
8,Entry short,2026-05-26 10:05,Short,30006,12,720144,-20.88,0.00,472.56,0.07,-115.44,-0.02,2437.82,4.88,1
9,Exit short,2026-05-29 10:15,S-X,30420.75,10,610365,1937.6,0.32,1943.8,0.32,-46.2,-0.01,4375.42,8.75,2
9,Entry short,2026-05-29 10:05,Short,30518.25,10,610365,1937.6,0.32,1943.8,0.32,-46.2,-0.01,4375.42,8.75,2
10,Exit long,2026-06-05 10:10,L-X,29831.75,11,655022.5,1262.36,0.19,1720.18,0.26,-265.32,-0.04,5637.78,11.28,1
10,Entry long,2026-06-05 10:05,Long,29773.75,11,655022.5,1262.36,0.19,1720.18,0.26,-265.32,-0.04,5637.78,11.28,1
11,Exit short,2026-06-10 10:20,S-X,29169.25,11,641333,-404.14,-0.06,0,0.00,-397.32,-0.06,5233.64,10.47,0
11,Entry short,2026-06-10 10:20,Short,29151.5,11,641333,-404.14,-0.06,0,0.00,-397.32,-0.06,5233.64,10.47,0
12,Exit long,2026-06-17 10:45,L-X,30317.5,12,728010,-404.88,-0.06,0,0.00,-397.44,-0.05,4828.76,9.66,0
12,Entry long,2026-06-17 10:45,Long,30333.75,12,728010,-404.88,-0.06,0,0.00,-397.44,-0.05,4828.76,9.66,0
13,Exit short,2026-06-24 10:40,S-X,29793.5,12,714648,-410.88,-0.06,0,0.00,-403.44,-0.06,4417.88,8.84,0
13,Entry short,2026-06-24 10:40,Short,29777,12,714648,-410.88,-0.06,0,0.00,-403.44,-0.06,4417.88,8.84,0
14,Exit long,2026-07-01 12:45,L-X,30216.75,16,966712,204.16,0.02,1006.08,0.10,-217.92,-0.02,4622.04,9.24,0
14,Entry long,2026-07-01 12:45,Long,30209.75,16,966712,204.16,0.02,1006.08,0.10,-217.92,-0.02,4622.04,9.24,0
