Trade number,Type,Date and time,Signal,Price USD,Size (qty),Size (value),Net PnL USD,Return %,Favorable excursion USD,Favorable excursion %,Adverse excursion USD,Adverse excursion %,Cumulative PnL USD,Cumulative PnL %,Duration (bars)
1,Exit long,2026-01-28 10:30,L-X,26205,18,943785,-427.32,-0.05,0,0.00,-416.16,-0.04,-427.32,-0.85,0
1,Entry long,2026-01-28 10:30,Long,26216.25,18,943785,-427.32,-0.05,0,0.00,-416.16,-0.04,-427.32,-0.85,0
2,Exit short,2026-02-10 10:55,S-X,25351,14,712180,2334.64,0.33,2343.32,0.33,-113.68,-0.02,1907.32,3.81,5
2,Entry short,2026-02-10 10:30,Short,25435,14,712180,2334.64,0.33,2343.32,0.33,-113.68,-0.02,1907.32,3.81,5
3,Exit long,2026-02-17 10:30,L-X,24459,14,685237,-402.36,-0.06,0,0.00,-393.68,-0.06,1504.96,3.01,0
3,Entry long,2026-02-17 10:30,Long,24472.75,14,685237,-402.36,-0.06,0,0.00,-393.68,-0.06,1504.96,3.01,0
4,Exit long,2026-02-26 11:50,L-X,24977.5,13,649688,-289.12,-0.04,0,0.00,-294.06,-0.05,1215.84,2.43,0
4,Entry long,2026-02-26 11:50,Long,24988,13,649688,-289.12,-0.04,0,0.00,-294.06,-0.05,1215.84,2.43,0
5,Exit long,2026-03-05 12:25,L-X,24937.75,14,698635,-395.36,-0.06,0,0.00,-386.68,-0.06,820.48,1.64,0
5,Entry long,2026-03-05 12:25,Long,24951.25,14,698635,-395.36,-0.06,0,0.00,-386.68,-0.06,820.48,1.64,0
6,Exit long,2026-03-13 11:55,L-X,24413.5,10,488275,-17.4,0.00,313.8,0.06,-306.2,-0.06,803.08,1.61,1
6,Entry long,2026-03-13 11:50,Long,24413.75,10,488275,-17.4,0.00,313.8,0.06,-306.2,-0.06,803.08,1.61,1
7,Exit short,2026-03-19 10:10,S-X,24516.5,12,588390,-20.88,0.00,1114.56,0.19,-175.44,-0.03,782.2,1.56,1
7,Entry short,2026-03-19 10:05,Short,24516.25,12,588390,-20.88,0.00,1114.56,0.19,-175.44,-0.03,782.2,1.56,1
8,Exit long,2026-03-20 10:10,L-X,24272.5,13,631091.5,-22.62,0.00,1447.94,0.23,-170.56,-0.03,759.58,1.52,1
8,Entry long,2026-03-20 10:05,Long,24272.75,13,631091.5,-22.62,0.00,1447.94,0.23,-170.56,-0.03,759.58,1.52,1
