Trade number,Type,Date and time,Signal,Price USD,Size (qty),Size (value),Net PnL USD,Return %,Favorable excursion USD,Favorable excursion %,Adverse excursion USD,Adverse excursion %,Cumulative PnL USD,Cumulative PnL %,Duration (bars)
1,Exit short,2026-03-31 10:05,SX,23508.75,17,800989,1670.42,0.21,1680.96,0.21,-36.04,0.00,1670.42,3.34,1
1,Entry short,2026-03-31 10:00,Short,23558.5,17,800989,1670.42,0.21,1680.96,0.21,-36.04,0.00,1670.42,3.34,1
2,Exit short,2026-04-21 10:05,SX,26855,14,751142,-815.36,-0.11,82.32,0.01,-806.68,-0.11,855.06,1.71,1
2,Entry short,2026-04-21 10:00,Short,26826.5,14,751142,-815.36,-0.11,82.32,0.01,-806.68,-0.11,855.06,1.71,1
3,Exit short,2026-04-23 10:00,SX,27008,16,865848,1572.16,0.18,1582.08,0.18,-73.92,-0.01,2427.22,4.85,2
3,Entry short,2026-04-23 09:50,Short,27057.75,16,865848,1572.16,0.18,1582.08,0.18,-73.92,-0.01,2427.22,4.85,2
4,Exit short,2026-05-07 10:00,SX,28804,17,978562.5,-794.58,-0.08,65.96,0.01,-784.04,-0.08,1632.64,3.27,1
4,Entry short,2026-05-07 09:55,Short,28781.25,17,978562.5,-794.58,-0.08,65.96,0.01,-784.04,-0.08,1632.64,3.27,1
